symbol,output,real_price
FTV,76.20741271972656,76.52
GD,255.73126220703125,257.99
GDDY,197.83822631835938,199.34
GE,171.50436401367188,172.45
GEN,28.592212677001953,27.43
GILD,92.87589263916016,91.23
GIS,63.00326156616211,61.5
GL,111.62874603271484,111.2
GLW,51.291324615478516,48.34
GM,56.490787506103516,53.53
GNRC,160.61257934570312,160.06
GOOG,198.012939453125,197.96
GOOGL,198.5978240966797,196.87
GPC,112.91143035888672,117.37
GPN,111.91128540039062,113.03
GRMN,207.42271423339844,207.83
GS,584.1317749023438,583.39
GWW,1054.27734375,1054.01
HAL,29.413253784179688,27.66
HAS,56.21753692626953,56.89
HCA,296.99072265625,296.92
HD,388.9576721191406,389.37
HES,136.85536193847656,135.92
HIG,106.53861999511719,108.65
HII,186.37095642089844,186.7
HOLX,71.92474365234375,73.77
HON,219.33143615722656,221.74
HPE,22.866384506225586,22.85
HRL,30.79817008972168,30.68
HSIC,73.36650085449219,71.76
HST,17.947572708129883,17.28
HSY,167.84567260742188,166.74
HUBB,439.49127197265625,440.55
HUM,264.11578369140625,264.29
HWM,109.33021545410156,112.47
IBM,222.7160186767578,222.67
ICE,151.96168518066406,146.58
IDXX,427.7124938964844,429.16
IEX,205.3541259765625,209.32
IFF,79.50592041015625,82.11
INCY,74.1570053100586,71.91
INTC,18.482616424560547,19.87
INVH,30.308380126953125,31.19
IP,53.907386779785156,53.5
IPG,25.02802848815918,27.99
IQV,203.658203125,199.28
IR,91.1184310913086,91.27
IT,491.885009765625,491.72
ITW,247.6658172607422,250.36
IVZ,17.559436798095703,17.4
J,131.8870391845703,132.87
JBHT,177.59423828125,176.4
JBL,151.43942260742188,152.02
JCI,77.29108428955078,79.27
JKHY,174.34640502929688,169.63
JNJ,144.6530303955078,143.66
JNPR,38.37856674194336,37.98
K,76.09162902832031,81.22
KDP,31.355810165405273,31.08
KEYS,161.72572326660156,165.25
KHC,29.956418991088867,30.05
KIM,23.141572952270508,22.34
KKR,153.2687530517578,150.74
KLAC,689.8612670898438,690.3
KMB,128.8643035888672,126.12
KMI,30.677221298217773,27.83
KMX,79.33381652832031,79.75
KO,59.9592399597168,60.81
KR,60.24201583862305,60.62
LDOS,148.8949737548828,148.24
LEN,135.321533203125,135.06
LH,226.66510009765625,229.92
LHX,206.96824645996094,204.29
LII,610.34130859375,609.98
LIN,416.4288024902344,412.91
LKQ,37.053714752197266,36.76
LLY,764.4765625,765.1
LMT,466.1798400878906,466.0
LNT,58.4158821105957,57.31
LRCX,76.65411376953125,77.98
LULU,393.0816955566406,395.31
LUV,35.6276969909668,33.83
LVS,50.06131362915039,50.93
LW,64.84343719482422,63.05
LYB,74.56844329833984,73.86
LYV,129.04981994628906,129.27
MA,511.66644287109375,511.93
MAA,147.39645385742188,149.77
MAS,71.95156860351562,73.1
MCHP,59.58591079711914,58.29
MCO,474.4296875,473.14
MDLZ,58.01795959472656,58.22
MDT,79.42930603027344,79.84
MET,81.43379211425781,81.99
META,629.5087890625,630.2
MGM,33.7208137512207,33.94
MHK,116.83441162109375,117.77
MKC,74.51066589355469,74.13
MKTX,223.3712921142578,222.34
MLM,515.5447998046875,517.37
MMC,206.61805725097656,208.48
MMM,131.28921508789062,130.29
MNST,55.734397888183594,51.87
MOH,298.29498291015625,298.31
MOS,25.09134292602539,25.39
MPC,141.99008178710938,140.53
MPWR,631.5966186523438,631.1
MRK,99.99915313720703,99.72
MRNA,41.78874969482422,42.57
MS,128.0847930908203,128.64
